t, ref_R, ref_th, Rv, thv
0.002750, 0.000000, 0.000000, 0.006342, 0.007705
0.002750, 0.000000, 0.000000, 0.006342, 0.007705
0.002800, 0.000000, 0.000000, 0.006342, 0.007705
0.002800, 0.000000, 0.000000, 0.006243, 0.007287
0.002850, 0.000000, 0.000000, 0.006243, 0.007287
0.002850, 0.000000, 0.000000, 0.006243, 0.007287
0.002900, 0.000000, 0.000000, 0.006243, 0.007287
0.002900, 0.000000, 0.000000, 0.006144, 0.006726
0.002950, 0.000000, 0.000000, 0.006144, 0.006726
0.002950, 0.000000, 0.000000, 0.006144, 0.006726
0.003000, 0.000000, 0.000000, 0.006144, 0.006726
0.003000, 0.000000, 0.000000, 0.006038, 0.006071
0.003050, 0.000000, 0.000000, 0.006038, 0.006071
0.003050, 0.000000, 0.000000, 0.006038, 0.006071
0.003100, 0.000000, 0.000000, 0.006038, 0.006071
0.003100, 0.000000, 0.000000, 0.005923, 0.005356
0.003150, 0.000000, 0.000000, 0.005923, 0.005356
0.003150, 0.000000, 0.000000, 0.005923, 0.005356
0.003200, 0.000000, 0.000000, 0.005923, 0.005356
0.003200, 0.000000, 0.000000, 0.005796, 0.004615
0.003250, 0.000000, 0.000000, 0.005796, 0.004615
0.003250, 0.000000, 0.000000, 0.005796, 0.004615
0.003300, 0.000000, 0.000000, 0.005796, 0.004615
0.003300, 0.000000, 0.000000, 0.005655, 0.003880
0.003350, 0.000000, 0.000000, 0.005655, 0.003880
0.003350, 0.000000, 0.000000, 0.005655, 0.003880
0.003400, 0.000000, 0.000000, 0.005655, 0.003880
0.003400, 0.000000, 0.000000, 0.005498, 0.003177
0.003450, 0.000000, 0.000000, 0.005498, 0.003177
0.003450, 0.000000, 0.000000, 0.005498, 0.003177
0.003500, 0.000000, 0.000000, 0.005498, 0.003177
0.003500, 0.000000, 0.000000, 0.005325, 0.002526
0.003550, 0.000000, 0.000000, 0.005325, 0.002526
0.003550, 0.000000, 0.000000, 0.005325, 0.002526
0.003600, 0.000000, 0.000000, 0.005325, 0.002526
0.003600, 0.000000, 0.000000, 0.005137, 0.001943
0.003650, 0.000000, 0.000000, 0.005137, 0.001943
0.003650, 0.000000, 0.000000, 0.005137, 0.001943
0.003700, 0.000000, 0.000000, 0.005137, 0.001943
0.003700, 0.000000, 0.000000, 0.004933, 0.001439
0.003750, 0.000000, 0.000000, 0.004933, 0.001439
0.003750, 0.000000, 0.000000, 0.004933, 0.001439
0.003800, 0.000000, 0.000000, 0.004933, 0.001439
0.003800, 0.000000, 0.000000, 0.004717, 0.001020
0.003850, 0.000000, 0.000000, 0.004717, 0.001020
0.003850, 0.000000, 0.000000, 0.004717, 0.001020
0.003900, 0.000000, 0.000000, 0.004717, 0.001020
0.003900, 0.000000, 0.000000, 0.004489, 0.000688
0.003950, 0.000000, 0.000000, 0.004489, 0.000688
0.003950, 0.000000, 0.000000, 0.004489, 0.000688
0.004000, 0.000000, 0.000000, 0.004489, 0.000688
0.004000, 0.000000, 0.000000, 0.004254, 0.000439
0.004050, 0.000000, 0.000000, 0.004254, 0.000439
0.004050, 0.000000, 0.000000, 0.004254, 0.000439
0.004100, 0.000000, 0.000000, 0.004254, 0.000439
0.004100, 0.000000, 0.000000, 0.004013, 0.000268
0.004150, 0.000000, 0.000000, 0.004013, 0.000268
0.004150, 0.000000, 0.000000, 0.004013, 0.000268
0.004200, 0.000000, 0.000000, 0.004013, 0.000268
0.004200, 0.000000, 0.000000, 0.003770, 0.000166
0.004250, 0.000000, 0.000000, 0.003770, 0.000166
0.004250, 0.000000, 0.000000, 0.003770, 0.000166
0.004300, 0.000000, 0.000000, 0.003770, 0.000166
0.004300, 0.000000, 0.000000, 0.003528, 0.000123
0.004350, 0.000000, 0.000000, 0.003528, 0.000123
0.004350, 0.000000, 0.000000, 0.003528, 0.000123
0.004400, 0.000000, 0.000000, 0.003528, 0.000123
0.004400, 0.000000, 0.000000, 0.003291, 0.000129
0.004450, 0.000000, 0.000000, 0.003291, 0.000129
0.004450, 0.000000, 0.000000, 0.003291, 0.000129
0.004500, 0.000000, 0.000000, 0.003291, 0.000129
0.004500, 0.000000, 0.000000, 0.003060, 0.000172
0.004550, 0.000000, 0.000000, 0.003060, 0.000172
0.004550, 0.000000, 0.000000, 0.003060, 0.000172
0.004600, 0.000000, 0.000000, 0.003060, 0.000172
0.004600, 0.000000, 0.000000, 0.002840, 0.000240
0.004650, 0.000000, 0.000000, 0.002840, 0.000240
0.004650, 0.000000, 0.000000, 0.002840, 0.000240
0.004700, 0.000000, 0.000000, 0.002840, 0.000240
0.004700, 0.000000, 0.000000, 0.002632, 0.000323
0.004750, 0.000000, 0.000000, 0.002632, 0.000323
0.004750, 0.000000, 0.000000, 0.002632, 0.000323
0.004800, 0.000000, 0.000000, 0.002632, 0.000323
0.004800, 0.000000, 0.000000, 0.002438, 0.000412
0.004850, 0.000000, 0.000000, 0.002438, 0.000412
0.004850, 0.000000, 0.000000, 0.002438, 0.000412
0.004900, 0.000000, 0.000000, 0.002438, 0.000412
0.004900, 0.000000, 0.000000, 0.002260, 0.000498
0.004950, 0.000000, 0.000000, 0.002260, 0.000498
0.004950, 0.000000, 0.000000, 0.002260, 0.000498
0.005000, 0.000000, 0.000000, 0.002260, 0.000498
0.005000, 0.000000, 0.000000, 0.002099, 0.000576
0.005050, 0.000000, 0.000000, 0.002099, 0.000576
0.005050, 0.000000, 0.000000, 0.002099, 0.000576
0.005100, 0.000000, 0.000000, 0.002099, 0.000576
0.005100, 0.000000, 0.000000, 0.001955, 0.000641
0.005150, 0.000000, 0.000000, 0.001955, 0.000641
0.005150, 0.000000, 0.000000, 0.001955, 0.000641
0.005200, 0.000000, 0.000000, 0.001955, 0.000641
0.005200, 0.000000, 0.000000, 0.001829, 0.000690
0.005250, 0.000000, 0.000000, 0.001829, 0.000690
0.005250, 0.000000, 0.000000, 0.001829, 0.000690
0.005300, 0.000000, 0.000000, 0.001829, 0.000690
0.005300, 0.000000, 0.000000, 0.001720, 0.000720
0.005350, 0.000000, 0.000000, 0.001720, 0.000720
0.005350, 0.000000, 0.000000, 0.001720, 0.000720
0.005400, 0.000000, 0.000000, 0.001720, 0.000720
0.005400, 0.000000, 0.000000, 0.001628, 0.000733
0.005450, 0.000000, 0.000000, 0.001628, 0.000733
0.005450, 0.000000, 0.000000, 0.001628, 0.000733
0.005500, 0.000000, 0.000000, 0.001628, 0.000733
0.005500, 0.000000, 0.000000, 0.001552, 0.000728
0.005550, 0.000000, 0.000000, 0.001552, 0.000728
0.005550, 0.000000, 0.000000, 0.001552, 0.000728
0.005600, 0.000000, 0.000000, 0.001552, 0.000728
0.005600, 0.000000, 0.000000, 0.001491, 0.000709
0.005650, 0.000000, 0.000000, 0.001491, 0.000709
0.005650, 0.000000, 0.000000, 0.001491, 0.000709
0.005700, 0.000000, 0.000000, 0.001491, 0.000709
0.005700, 0.000000, 0.000000, 0.001443, 0.000681
0.005750, 0.000000, 0.000000, 0.001443, 0.000681
0.005750, 0.000000, 0.000000, 0.001443, 0.000681
0.005800, 0.000000, 0.000000, 0.001443, 0.000681
0.005800, 0.000000, 0.000000, 0.001396, 0.000669
0.005850, 0.000000, 0.000000, 0.001396, 0.000669
0.005850, 0.000000, 0.000000, 0.001396, 0.000669
0.005900, 0.000000, 0.000000, 0.001396, 0.000669
0.005900, 0.000000, 0.000000, 0.001351, 0.000673
0.005950, 0.000000, 0.000000, 0.001351, 0.000673
0.005950, 0.000000, 0.000000, 0.001351, 0.000673
0.006000, 0.000000, 0.000000, 0.001351, 0.000673
0.006000, 0.000000, 0.000000, 0.001308, 0.000685
0.006050, 0.000000, 0.000000, 0.001308, 0.000685
0.006050, 0.000000, 0.000000, 0.001308, 0.000685
0.006100, 0.000000, 0.000000, 0.001308, 0.000685
0.006100, 0.000000, 0.000000, 0.001267, 0.000696
0.006150, 0.000000, 0.000000, 0.001267, 0.000696
0.006150, 0.000000, 0.000000, 0.001267, 0.000696
0.006200, 0.000000, 0.000000, 0.001267, 0.000696
0.006200, 0.000000, 0.000000, 0.001227, 0.000704
0.006250, 0.000000, 0.000000, 0.001227, 0.000704
0.006250, 0.000000, 0.000000, 0.001227, 0.000704
0.006300, 0.000000, 0.000000, 0.001227, 0.000704
0.006300, 0.000000, 0.000000, 0.001189, 0.000711
0.006350, 0.000000, 0.000000, 0.001189, 0.000711
0.006350, 0.000000, 0.000000, 0.001189, 0.000711
0.006400, 0.000000, 0.000000, 0.001189, 0.000711
0.006400, 0.000000, 0.000000, 0.001152, 0.000715
0.006450, 0.000000, 0.000000, 0.001152, 0.000715
0.006450, 0.000000, 0.000000, 0.001152, 0.000715
0.006500, 0.000000, 0.000000, 0.001152, 0.000715
0.006500, 0.000000, 0.000000, 0.001117, 0.000718
0.006550, 0.000000, 0.000000, 0.001117, 0.000718
0.006550, 0.000000, 0.000000, 0.001117, 0.000718
0.006600, 0.000000, 0.000000, 0.001117, 0.000718
0.006600, 0.000000, 0.000000, 0.001083, 0.000718
0.006650, 0.000000, 0.000000, 0.001083, 0.000718
0.006650, 0.000000, 0.000000, 0.001083, 0.000718
0.006700, 0.000000, 0.000000, 0.001083, 0.000718
0.006700, 0.000000, 0.000000, 0.001051, 0.000716
0.006750, 0.000000, 0.000000, 0.001051, 0.000716
0.006750, 0.000000, 0.000000, 0.001051, 0.000716
